 name	GO
PF3D7_0715500	PF3D7_0715500	GO:0005739
PF3D7_1015600	HSP60	GO:0005739
PF3D7_1215300	CPN10	GO:0005739
PF3D7_1235700	PF3D7_1235700	GO:0005739
PF3D7_1215000	Trx-Px2	GO:0005739
PF3D7_0303700	BCKDH-E2	GO:0005739
PF3D7_0603700	mFRS	GO:0005739
PF3D7_1233000	EF-G	GO:0005739
PF3D7_0603500	CAX	GO:0005739
PF3D7_1314600	LipL1	GO:0005739
PF3D7_1230400	ClpQ	GO:0005739
PF3D7_0524700	TOM22	GO:0005739
PF3D7_0518200	MDM2	GO:0005739
PF3D7_0727200	NFS	GO:0005739
PF3D7_0214200	mRPL13	GO:0005739
PF3D7_0302700	PF3D7_0302700	GO:0005739
PF3D7_0709200	GLP3	GO:0005739
PF3D7_0925500	TLP2	GO:0005739
PF3D7_1214200	SET5	GO:0005739
PF3D7_1439600	PF3D7_1439600	GO:0005739
PF3D7_1022500	CS	GO:0005739
PF3D7_0915000	NDH2	GO:0005739
PF3D7_1428600	RF1	GO:0005739
PF3D7_1342100	IRP	GO:0005739
PF3D7_1349300	TKL3	GO:0015630
PF3D7_1015900	ENO	GO:0002253
PF3D7_0603500	CAX	GO:0006816
PF3D7_0315200	CTRP	GO:0002312
PF3D7_1234700	ULG8	GO:0010468
PF3D7_1008000	HDA2	GO:0010468
PF3D7_0207600	SERA5	GO:0002377
PF3D7_0207900	SERA2	GO:0002377
PF3D7_0207400	SERA7	GO:0002377
PF3D7_0207800	SERA3	GO:0002377
PF3D7_0208000	SERA1	GO:0002377
PF3D7_0207500	SERA6	GO:0002377
PF3D7_0207700	SERA4	GO:0002377
PF3D7_0902800	SERA9	GO:0002377
PF3D7_0104200	PF3D7_0104200	GO:0015914
PF3D7_1463500	PF3D7_1463500	GO:0015914
PF3D7_0817900	HMGB2	GO:0002720
PF3D7_1303500	NHE	GO:0006814
PF3D7_1132800	AQP	GO:0006833
PF3D7_1342100	IRP	GO:0003994
PF3D7_1227100	DH60	GO:0008026
PF3D7_1468700	eIF4A	GO:0008026
PF3D7_0826700	RACK1	GO:0051302
PF3D7_1106000	RUVB2	GO:0003678
PF3D7_0809700	RUVB1	GO:0003678
PF3D7_1411400	PREX	GO:0003678
PF3D7_1033700	BDP1	GO:0003682
PF3D7_1362200	RUVB3	GO:0004003
PF3D7_0630900	HAS1	GO:0004004
PF3D7_1364300	PRP16	GO:0004004
PF3D7_0209800	UAP56	GO:0004004
PF3D7_0320800	DOZI	GO:0004004
PF3D7_1459000	DBP5	GO:0004004
PF3D7_1033100	AdoMetDC/ODC	GO:0004014
PF3D7_0802600	ACbeta	GO:0004016
PF3D7_1404600	ACalpha	GO:0004016
PF3D7_1203000	ORC1	GO:0003688
PF3D7_0409400	DnaJ	GO:0003688
PF3D7_1011800	PREBP	GO:0003690
PF3D7_1209300	TRZ	GO:0003691
PF3D7_0604100	SIP2	GO:0042162
PF3D7_0622900	AP2Tel	GO:0042162
PF3D7_1203000	ORC1	GO:0042162
PF3D7_0508800	SSB	GO:0003697
PF3D7_1029600	ADA	GO:0004000
PF3D7_1008900	AK1	GO:0004017
PF3D7_0816900	AK2	GO:0004017
PF3D7_0206700	ADSL	GO:0004018
PF3D7_0629400	PABP3	GO:0003729
PF3D7_0703500	PF3D7_0703500	GO:0003729
PF3D7_0810600	DBP1	GO:0003729
PF3D7_0929200	PF3D7_0929200	GO:0003729
PF3D7_1474900	CITH	GO:0003729
PF3D7_1006800	GBP2	GO:0003729
PF3D7_1021900	PF3D7_1021900	GO:0003729
PF3D7_1105800	PF3D7_1105800	GO:0003729
PF3D7_1107300	PAIP1	GO:0003729
PF3D7_0518700	PUF1	GO:0003729
PF3D7_0105200	PF3D7_0105200	GO:0003729
PF3D7_1330800	PF3D7_1330800	GO:0003729
PF3D7_0823200	PF3D7_0823200	GO:0003729
PF3D7_1236100	CARP	GO:0003729
PF3D7_1409800	CELF2	GO:0003729
PF3D7_0814200	ALBA1	GO:0003729
PF3D7_0422400	RPS19	GO:0003735
PF3D7_0219200	PF3D7_0219200	GO:0003735
PF3D7_1144000	RPS21	GO:0003735
PF3D7_1426000	RPL21	GO:0003735
PF3D7_1460700	RPL27	GO:0003735
PF3D7_0507100	RPL4	GO:0003735
PF3D7_1317800	RPS19	GO:0003735
PF3D7_1342000	PF3D7_1342000	GO:0003735
